link,title,singer,arousal,valence
spotify:track:5iJfzXKvQXlYOBtEQhEmpA,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack",Teriyaki Boyz,0.892,0.935
spotify:track:4sCSUQnWQ6HJsOMjfPicdn,Danza Kuduro,"Don Omar, Lucenzo",0.896,0.896
spotify:track:4IXiFMhtXEbSEG8UoAeTwD,Go Hard or Go Home,"Wiz Khalifa, Iggy Azalea",0.741,0.386
spotify:track:59PL9AwYjIrIpP04n9gmMR,Ride Out,"Kid Ink, Tyga, Wale, YG, Rich Homie Quan",0.804,0.536
spotify:track:6h5yOjQNDaLZ0rW2OGoXTB,"Turn Down for What (feat. Juicy J, 2 Chainz & French Montana) - Official Remix","DJ Snake, Lil Jon, Juicy J, 2 Chainz, French Montana",0.76,0.362
spotify:track:1NHmcD7dVRn3RAB98wcgIa,My Life Be Like(Grits),L. Starz,0.905,0.703
spotify:track:4j6OvdrZXUD5lmINPNoOtI,GDFR (feat. Sage the Gemini and Lookas) - Noodles Remix,"Flo Rida, Sage The Gemini, Lookas, Noodles",0.944,0.577
spotify:track:7qbs4ZjVVJdSlYTUEk1x84,Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",0.778,0.54
spotify:track:4O6ZaZrRCFfiZZKjnrXqlk,That Thing You Do!,The Wonders,0.874,0.962
spotify:track:5d6Mjuu2uCGRPYpFjGpCX5,Sugar,Maroon 5,0.788,0.884
spotify:track:1fDFHXcykq4iw8Gg7s5hG9,About You,The 1975,0.762,0.461
spotify:track:0GgN4MhR5GKn5IcKN0e0rG,Cancer,My Chemical Romance,0.515,0.222
spotify:track:7aSyG7cskkG3zhfO2JLxq3,Happiness,Rex Orange County,0.235,0.198
spotify:track:5mtTAScDytxMMqZj14NmlN,love.,wave to earth,0.391,0.251
spotify:track:2QB8FwOszur18Ai7t2XnNi,Anything You Want,Reality Club,0.58,0.313
spotify:track:10nyNJ6zNy2YVYLrcwLccB,No Surprises,Radiohead,0.393,0.118
spotify:track:6ZGgaShxOimGDfRz1T1zje,Alexandra,Reality Club,0.355,0.145
spotify:track:5Gxwk3TSekI4GVMpFvPBEc,2112,Reality Club,0.551,0.222
spotify:track:2fuYa3Lx06QQJAm0MjztKr,Let Down,Radiohead,0.676,0.143
spotify:track:3p4hRhMcb6ch8OLtATMaLw,Cry,Cigarettes After Sex,0.398,0.165
spotify:track:2xGjfbXZnI8uQDhukoQURQ,K.,Cigarettes After Sex,0.404,0.313
spotify:track:5LrN7yUQAzvthd4QujgPFr,Here With Me,d4vd,0.45,0.263
spotify:track:3T44WnzGfdHyVwnfTmVyv2,Terbuang Dalam Waktu,Barasuara,0.7,0.298
spotify:track:70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,0.43,0.104
spotify:track:5VBjyOQzqlPNgdRPMM6prF,seasons,wave to earth,0.273,0.165
spotify:track:6TvxPS4fj4LUdjw2es4g21,Slipping Through My Fingers,ABBA,0.26,0.339
spotify:track:0B7wvvmu9EISAwZnOpjhNI,When I Was Your Man,Bruno Mars,0.271,0.411
spotify:track:4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,0.425,0.27
spotify:track:5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,Sal Priadi,0.332,0.566
spotify:track:6XsFgTG4dY768oIB4Dmeu0,Jiwa Yang Bersedih,Ghea Indrawari,0.391,0.451
spotify:track:0wULafSHeHYZFu54R9ZFRJ,Mangu,"Fourtwnty, Charita Utami",0.33,0.177
spotify:track:1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart,NIKI,0.613,0.633
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,Until I Found You (with Em Beihold) - Em Beihold Version,"Stephen Sanchez, Em Beihold",0.55,0.342
spotify:track:3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,0.317,0.585
spotify:track:4oHQ8n9OKQ3599e8noCrDX,I Think They Call This Love,Elliot James Reay,0.564,0.485
spotify:track:5TTGoX70AFrTvuEtqHK37S,No. 1 Party Anthem,Arctic Monkeys,0.698,0.599
spotify:track:4EWBhKf1fOFnyMtUzACXEc,Pluto Projector,Rex Orange County,0.219,0.188
spotify:track:7qjZnBKE73H4Oxkopwulqe,back to friends,sombr,0.723,0.235
spotify:track:3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,0.308,0.121
spotify:track:4SqWKzw0CbA05TGszDgMlc,I Love You So,The Walters,0.648,0.466
spotify:track:3iBgrkexCzVuPy4O9vx7Mf,Glue Song,beabadoobee,0.409,0.582
spotify:track:0yuAWlxq59xT3agQ965OxE,Sunsetz,Cigarettes After Sex,0.477,0.141
spotify:track:2IVsRhKrx8hlQBOWy4qebo,Mr. Loverman,Ricky Montgomery,0.526,0.488
spotify:track:0RoA7ObU6phWpqhlC9zH4Z,A Million Dreams,"Ziv Zaifman, Hugh Jackman, Michelle Williams",0.312,0.0998
spotify:track:3oEkrIfXfSh9zGnE7eBzSV,The Winner Takes It All,ABBA,0.788,0.52
spotify:track:4y5HTa0xfMGORsMhy26n3X,Somebody's Pleasure (Extended Version),Aziz Hedra,0.539,0.326
spotify:track:3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,0.454,0.912
spotify:track:6491IiPC0Xu2Tng8DgQPhq,End of Beginning,Djo,0.454,0.912
spotify:track:21IYMdzTrzSe191Cy5eMap,Sailor Song,Gigi Perez,0.392,0.272
spotify:track:2pOLzpYmuDlcbTJUXYkPSr,33x,Perunggu,0.681,0.301
spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Man Who Can't Be Moved,The Script,0.629,0.308
spotify:track:4O6ZaZrRCFfiZZKjnrXqlk,That Thing You Do!,The Wonders,0.874,0.962
